# Bris signalés par les clients — la part qui se versionne.
#
# Produit par « node bris_missive.js retenir <brouillon> ». Le brouillon, lui,
# ne se versionne pas : il porte les fils écartés en texte intégral. Ici il ne
# reste que les signalements retenus, et de chacun ce que le mur affiche.
#
# Les citations sont les mots du client, jamais reformulés — c'est ce qui fait
# comprendre un bris à quelqu'un qui n'a jamais tenu la pièce. Le nom, le
# courriel, le numéro de commande et le téléphone en ont été retirés.
#
#   produit   code du produit dans le MRP
#   zone      où ça casse : « couture de bretelle », « usure de la semelle »
#   citation  le client, mot pour mot, anonymisé. NE PAS reformuler.
#   photos    adresses web, séparées par une espace. Des ADRESSES, jamais des
#             fichiers : l'app n'héberge rien.
#   source    le fil Missive d'origine, opaque. C'est lui qui rend l'import
#             rejouable : corriger une ligne et relancer met à jour.
#
# 110 signalements, 80 avec photo.
produit	zone	date	citation	photos	source
GLACIERE	bretelle	2025-09-01	Bonjour. Je vous contacte aujourd'hui pour vous exprimer mon mécontentement. J'ai acheté le sac à dos glacière, je l'ai reçu il y a 1 mois. Commande n° [commande]. Honnêtement je suis très satisfaite de la capacité isolante du sac, encore bravo pour la conception. Par contre je suis très insatisfaite des bretelles de transport. Premièrement elles sont très inconfortables et deuxièmement pas assez solides. Après 3 utilisations pour pique-niquer au parc, voilà que la bretelle se déchire déjà! (Voir photos ci-jointes) L'usage n'a pas été excessif, dans le contenu il y avait uniquement un pique-ni	https://drive.google.com/file/d/1zNXcOw6hCLqv7GREY4WmaywbEFLiG403/view https://drive.google.com/file/d/1_orpvtbC0G4pnGHlg4n7xHFhebQ3tMwU/view https://drive.google.com/file/d/1hcvvBza-3kQhz1Wb1j5ZgeR6UI7Za2nM/view	missive:d06bd7a4-4b5a-4685-8f7a-38e140155483
GLACIERE	couture de bretelle	2025-08-31	Hi, I purchased a cooler bag from your company, and after wearing it only once, it has already broken. My order number is Commande [commande]. I’ve attached a picture to show the defect. Could you please let me know my options for a return or exchange? Thank you	https://drive.google.com/file/d/1Zyk57moV7ouAEoWHBVfe8eva5LR6HrVC/view	missive:9ec03a9b-4a3c-44ab-9f85-c6815790485d
GLACIERE	couture de bretelle	2025-08-30	Bonjour J’ai acheté votre sac à dos vert forêt suite à la suggestion d’une amie! En juillet dernier et voilà qu’une couture de la bretelle a déjà lâché… pourtant je ne fais que voyager léger entre le chalet et la maison… Le faire réparer oui mais je suis déçue! Je voulais vous aviser!! Merci	https://drive.google.com/file/d/1XfEvAnqN7Bt8k1_lhGBe0y1lAFbYiSjv/view https://drive.google.com/file/d/1WT59N89WPIgwy-N1UGOUlzs91-LxUGgm/view	missive:e82e71ce-4d10-4a0d-b2be-3fbc4e452189
GLACIERE	couture de bretelle	2025-08-23	Bonjour, je récrit car j'ai un bris sur mon sac glacière. J'avais écrit il y a environ 2 semaine, mais sur une suite de courriel donc mon message a peut-être été perdu en cours de route. C'est la 2e fois que ca arrive. C'est encore les sangles du haut dont la couture casse et découd. J'avais déjà suggérer de faire une surpiqure sur cette couture pour augmenter la solidité, mais peut-être les mettre plus proches en haut. C'est surtout quand on prend juste une sangle pour le mettre sur l'épaule que l'intérieur force tro p... Pouvez-vous me dire qui qui est possible pour mon sac brisé? Je joint u	https://drive.google.com/file/d/1uuyMDNpBouXa1CT9HZaZH7GqnBSW97_G/view	missive:147000da-d11b-4382-adc2-e794d1415c1e
GLACIERE	couture de bretelle	2025-08-20	Bonjour, j’espère que vous allez bien! Je vous écris parce que j’ai commandé le sac à dos glacière 30L. Je l’adore!!! Mais, dès la deuxième utilisation, j’ai remarqué qu’une des deux sangles pour mettre sur l’épaule était en train de se découdre… Ma mère a eu des cours de couture, et elle l’a arrangée comme elle a pu, mais elle m’a dit que ça n’allait pas être aussi solide qu’à l’origine, puisqu’elle l’a recousue à la main, et non pas à la machine. Est-ce que c’est quelque chose qui arrive fréquemment avec ce produit? Sinon pensez-vous que c’est possible de vous le retourner pour qu’il soit ré	https://drive.google.com/file/d/1Rv-PRvx2xqZjm-Sll9kU3c6TJf7tfePb/view	missive:68a419ea-fa67-461c-839e-aa82229c5f23
GLACIERE	couture de bretelle	2025-08-17	Bonjour! Nous avons acheté le sac à dos glacière il y a environ 1 an et une couture au niveau de la bretelle rend l'âme. ( Voir photo ci-joint) Loin d'être une pro de la couture, mais déterminée à poursuivre l'utilisation du sac qu'on adore, je me demandais si vous pourriez me guider pour la réparation? (Quelle couture devrais-je défaire pour avoir accès à faire la réparation le plus "proprement" possible? J'ai une machine régulière et surjeteuse) Ce n'est pas urgent, je prendrai votre aide si votre temps le permet. Merci et profitez bien de l'été! ☀️	https://drive.google.com/file/d/1ZaSbkGw3GS0Uz-91bgjdwozslz0QlqF3/view https://drive.google.com/file/d/1UutjKLlTr4GIjOHtswF66RExCRhWDhkA/view https://drive.google.com/file/d/1ZNpSV-qTzKSFKm37DwApQTe0nRQJVAEH/view	missive:1ed11c46-e552-4236-a865-0356969093ca
GLACIERE	couture	2025-08-16	Bonjour, j’ai reçu mon sac de remplacement. Je suis allée faire mes courses avec. Je vous donne le contenu complet pour que vous constatiez à quel point vos coutures ne sont pas solides. J’ai mis une bouteille de jus, une gourde, des lardons, de la crème, un mini pavé de saumon, des haricots et dès que je l’ai mis sur mon dos, la couture a craqué. Je ne ferai pas de bad review, je ne demande pas de remboursement, ni de 3e sac, mais je vous conseille de vérifier votre mode de fabrication. Vraiment pas solide et qui plus est, pas très confortable à porter. Je suis déçue de mon achat, mais je vai	https://drive.google.com/file/d/1W7gGu9haeyZoqL7Aw0Fzxhy3JEFCyAEq/view	missive:6f7b6f75-597d-44ac-bfea-3efdbe71aac6
GLACIERE	couture de bretelle	2025-08-08	Bonjour! J'ai bien reçu mon sac (Commande [commande]), très beau produit je suis très content. Par contre, à ma première utilisation (avant même l'utilisation, simplement en ajoutant quelques items dedans) la bretelle s'est décousue. voir a photo en PJ. J'attends votre retour, merci pour votre collaboration [téléphone]	https://drive.google.com/file/d/13BJ2iYGbibSJeu7dOhARE3MENURY53C3/view	missive:4e3af036-ed4e-4929-9fa2-92bc0389e7a1
GLACIERE	boucle de fermeture	2025-04-16	Bonjour, J'ai reçu un sac-à-dos glacière en cadeau et malgré son look impeccable, il ne "fonctionne" pas. La boucle qui est supposé tenir le sac fermé se détache (se lousse) d'elle même lorsque je soulève le sac. J'aimerais savoir quelles sont mes option pour réparer cela. Autre commentaires concernant le design du sac. Les bretelles sont fixées très proches l'une de l'autre et ne sont pas mis à angle, le résultat est que ce n'est pas du tout confortable pour le transport car ça n'épouse pas la forme du corps Aussi, j'ai une amie que a un étui dont les coutures se sont brisé apres moins d'un m		missive:28506c71-91ad-4709-9471-3c6c2549c37c
GLACIERE	courroie	2025-01-16	Bonjour Gabriel, j'ai acheté en fin novembre 2024 un sac à dos glacière 30L. J'adore vraiment le produit et l'utilise depuis quelques semaines, mais voilà qu'une courroie est déjà en train de se briser ( j'en fait une utilisation normale, je met mon lunch pour aller au travail). Je vous envoie en pièce jointe des photos. Pouvez-vous en faire la réparation? Merci Émilie	https://drive.google.com/file/d/1lWkCCO8xcsRG89pP1FzmPYyyrsOsB9jc/view https://drive.google.com/file/d/1lGJ49bgzNZZDIL2xUdm-rO_31F7EHR0V/view https://drive.google.com/file/d/1zXjDnFtxkCWAKNNxDE6t8XQ5sk9I76Z7/view	missive:e548f1c8-757d-44be-8e4a-af58d93f4d49
GLACIERE	collage du dessus	2024-10-18	bonjour j’Ai acheté le sac glacière au printemps. Je suis très satisfait de la performance de celui-ci. En août j’ai remarqué que le morceaux qui sert de dessus commençait a se décoller.voir photo Est-ce possible de le remplacer avant qu’il ne s’ouvre plus? Petit commentaire constructif: Le système d’attache des sangles n’est pas très efficace car la sangle ne se bloque pas très bien dans l’attache de plastique et il est difficile de maintenir la position désiré pour le porter sur les épaules. Le problème est l’attache de plastique et les angles des espacement à l’intérieur. Je ne suis peut-êt	https://drive.google.com/file/d/1sZBqLGNS18mADf0-9h9asK7iBXWFP-Ey/view https://drive.google.com/file/d/1WRLdX3qnIR_fmajUcshJpEDn9piojSPo/view	missive:fa5062be-efee-4d4f-a093-973e7d939dac
VESTE	fermeture éclair pas assez solide	2026-05-05	Bonjour. Depuis l’arrivée du printemps j’utilise ma veste sans manche Lasclay presque tous les jours et je l’aime beaucoup. Si vous me le permettez je pense que la fermeture éclair n’est pas assez solide. Le bas de la veste m’arrive juste en dessous des hanches ce qui est parfait! Mais c’est aussi la que les mouvements sont les plus intenses. Le bas de ma fermeture éclair a craqué hier quand je me suis accroupie pour ramasser la balle de mon chien. Étant couturière amateur je trouve que la fermeture semble de moins bonne qualité que le reste et un simple point droit ne suffit pas pour la mise	https://drive.google.com/file/d/1bCV8Myb3AqZMK9wowq6I4vJZ1ZCFbydb/view	missive:67cef9fe-6f38-41f8-8f3f-36ef2dda8e95
*	couture de la fermeture éclair (manteau, modèle non précisé)	2026-03-14	Bonjour, J'ai acheté un manteau en prévente. La fermeture éclair se découdre, même si j'ai refait une couture. Le bas du manteau est trop étroit, même si mon tour de hanche correspond au guide des tailles. Est-ce que je suis la seule à avoir rapporté ce problème?		missive:4b48877f-2ada-4c76-92a7-f63c66039b80
*	butée basse du zip — la pièce a décroché (manteau, modèle non précisé)	2026-03-13	Bonsoir! J’ai acheté un manteau à mon conjoint. Seulement, le zipper vient de casser dans le bas. La petite pièce qui empêche la fermeture métallique de tomber a décroché. Il est neuf de décembre. Je vais attendre un retour de votre part pour savoir comment nous nous y prenons. Mon nom est [téléphone] Si je ne réponds pas, laissez-moi un message, merci!		missive:f9b715de-8a00-4e16-8849-5b968bba0cb3
VESTE	couture de la fermeture éclair	2026-02-25	Bonjour j’ai reçu ma veste que j’aime bien mais la couture de la fermeture éclaire ne tient pas plus, j’aimerai savoir quoi faire avec je les depuis moins de 2 semaines	https://drive.google.com/file/d/1BhrptSoHgBBnirfRI79f3iFfyy-MkP6G/view https://drive.google.com/file/d/1IRgW7xsR7bhTIo0UQsnNUjFMuuOiV9nI/view	missive:7c4c5af2-7f18-4a7d-92b5-ec6f98e58e60
VESTE	fermoir décousu au bas	2026-02-05	Bonjour! Je ne sais pas trop à qui je m’adresse, mais si c’est Gabriel, je te salue! J’ai un petit soucis avec ma veste. Due à la longueur de la veste, en m’asseyant dans la voiture, le fermoir s’est légèrement décousu au bas du manteau. Je compte bien le faire réparer où de faire changer le fermoir pour un autre qui m’offrirait la possibilité de donner un peu d’aisance aux hanches. Je vais devoir trouver une solution parce qu’il m’arrivera la même chose en m’asseyant n’importe où. As-tu eu des commentaires similaires? L’autre possibilité serait de faire ouvrir de quelques centimètres le bas d	https://drive.google.com/file/d/1xeYNEk3jhGEkczflHg2FmNNoRuohq7tk/view	missive:9e771102-b6a6-4e89-b754-a14d425fc5d7
MANTEAU-3SAISONS	couture de la fermeture éclair a cédé	2026-01-17	Bon matin, Comment allez-vous? J'ai bien reçu mon manteau et je dois avouer que je suis très deçu.. Le première fois que je me suis penché en portant le manteau la couture de la fermeture éclaire a cédée. (Je vous inclus une photo), malgré le fait que mon manteau est ample.Je suis vraiment très deçu de la qualité du manteau, car de plus, le mauvais ajustement du bas laisse passer l'air froid. Je souhaiterais un remboursement ou si vous avez une autre solution à me proposer, je suis à l'écoute. Ripon	https://drive.google.com/file/d/1QQjVlG5xQTIzdIyh7VCKQIoqfU-CIGKM/view	missive:8c0e3333-ad30-4307-ac23-58520624da48
*	couture à la base du zip (manteau, modèle non précisé)	2026-01-04	Bonjour. J’ai bien reçu mon manteau le 31 décembre et je vous en remercie. Cet après midi, le zipper a décousu à la base dudit zipper en me penchant. Si c’était un vieux manteau, je m’en occuperais sans rien dire mais après 5 jours de réception, je me disais que vous pourriez faire quelque chose pour ça! Quoi? Merci de me revenir la dessus. [téléphone]		missive:b3516d9a-9993-4bdb-a18c-f17751b3fe5c
*	couture près du pouce	2026-06-10	Bonjour J’ai un produit défectueux, des mitaines,. C’est une couture qui a lâché près du pouce. Puis-je me rendre à notre adresse sur la rue des Capucins pour un retour. Cela éviterait les frais et délais de la poste. Merci de votre attention. [téléphone] Le dim. 31 mai 2026 à 09:25, Lasclay <[courriel]> a écrit : Une énorme 1e journée, 1 gros merci ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏	https://drive.google.com/file/d/177LsPw8dqN-Wiq0HXak_22TGYVLJxKeb/view	missive:6e757002-b078-4058-a804-0716904eae00
*	couture — mitaine gauche rétrécie	2026-04-23	Bonjour Hari, Merci pour votre message et réponse à ma question. Ce qui est concernant avec les mitaines reçues, c'est qu'il semble y avoir une erreur de confection à la mitaine gauche: la couture n'a pas fait la mitaine en rondeur, rétrécissant par le fait même l'espace au milieu de la main. Voilà, la mitaine g est ainsi moins confortable que la droite. Ecqu'un échange est de mise ds un cas comme celui-ci ou pas? Merci et bonne journée, JMance	https://drive.google.com/file/d/1wk4eiTVK6RpPxhQH7zcsZlO2gp0kGost/view https://drive.google.com/file/d/1744pAPp6oPVUDCyFTJRnnO_zus6EcDtr/view https://drive.google.com/file/d/1z-1GvqmgyVMQGWWqBjPy8mlv7kQvySpg/view https://drive.google.com/file/d/1EEsAXNXHIJBeXr_nBnnvGsyAJGsLATx0/view https://drive.google.com/file/d/1D2hhRZz96-UBN8WnPfoT5Ld_B4343uex/view	missive:8eb74e1e-1dfc-4124-a80e-4e7e2d96dbeb
*	décousue entre le pouce et les doigts	2026-04-20	Bonjour, J'ai acheté plusieurs produits chez vous, dont je vante les éloges à mes amis. Cependant, j'ai un problème avec une des paires de mitaines. Elle s'est décousue entre le pouce et le reste des doigts. Je vous joins des photos. Pour la deuxième paire de mitaines, c’est mineur, mais l’asclépiade reliant les deux mitaines, s’est brisée. Merci de votre aide! Bonne journée!	https://drive.google.com/file/d/1j_wTysZmB8G_wSLOjYUU_D9aL2zb7Imr/view https://drive.google.com/file/d/1MI6whTL4UtGrdgB7gUArKdzjKLcF_QHA/view https://drive.google.com/file/d/1posplkARfIuwgJdwmRfpMfj-Qqu-US7y/view	missive:1b9ffa0e-6f9a-4691-a3da-b170ea8f140f
*	le pouce a décousu	2026-03-26	Bonjour j’ai acheter le mitaine lasclay a noël porter une dizaine de fois et le pouce a décousu est ce possible d’en ravoir une autre paire???	https://drive.google.com/file/d/1xf301OfIpFVTC5dt_0qZwmtu_eRtEYtx/view	missive:0079704d-13ea-4e3d-8214-1461d16eddee
MIT-PLEIN-AIR	couture intérieure du pouce	2026-03-05	Bonjour! J'ai acheté en novembre 2025 une paire de mitaines plein air à votre boutique de QC. Je viens de constater que la couture intérieure du pouce de la mitaine de droite est décousue. Êtes-vous en mesure de faire la réparation svp? Je vous envoie une photo en annexe! J'habite sur la Côte-Nord et serai de passage à QC pour le prochain week-end. Merci pour l'attention portée à ma demande. Bonne journée! [téléphone]	https://drive.google.com/file/d/1kVma25XNnw2NX0Acd5wDFfcYr6M1P4ek/view https://drive.google.com/file/d/1YpbVi1CrJwvVU-ElKkSluEms_Gapy5YJ/view	missive:edd8dc15-874f-4dc7-b4b9-c475f8ebcc9b
*	couture qui cède après deux hivers	2026-03-02	Bonjour, J'utilise mes mitaines depuis 2 hivers déjà et j'en suis très satisfait. Malheureusement, avec le temps, la couture a fini par céder sur la mitaine droite et commence sur la mitaine gauche (voir photos). Est-ce que vous pouvez faire quelque chose pour m'aider SVP? Merci	https://drive.google.com/file/d/1XA9XUYoNVamTyQQS4yxBEoi__NWLv2N4/view https://drive.google.com/file/d/1cKGJXQWS4QwgyoBLmLfWA5gxtLRC4jFe/view	missive:d9164742-9fe6-4536-ab53-6514840cf709
*	couture en train de se découdre	2026-02-28	Bonjour, J'aimerais m'informer sur la garantie s'appliquant à vos produits. En effet, la couture d'une des mitaines (achetées en novembre) est en train de se découdre. (voir photo en p.j) Merci beaucoup Sophie Pelletier [téléphone] Le mardi 18 novembre 2025 à 13 h 28 min 27 s HNE, Lasclay <[courriel]> a écrit : Commande [commande] Merci pour votre achat! Bonjour Sophie, nous préparons l'envoi de votre commande. Nous vous informerons quand celle-ci aura été envoyée. Afficher votre commande (https://lasclay.com/_t/c/v3/AACpeVo2_2WiWToPoXp7oJn0SqX_LY6TGm5O_K2ALlTJU7P4kWNY24rvLpLYB78_LFXW9seSIv2AZ	https://drive.google.com/file/d/13GTvB0JLBhzmk0YwCk1fcNjvq2FX-Cne/view	missive:ff0f618e-db8a-4778-b5c6-2cb15f8b0bb9
*	couture qui lâche	2026-02-22	Bonjour, Il y a une semaine, j'ai acheté des mitaines chez vous. Elles sont très chaudes et je les adore, malheureusement une couture est en train de lâcher... Pouvez vous les réparer? Merci!	https://drive.google.com/file/d/19AgN6V3H0pAJjUeIota7tGwCLLhBYHwZ/view https://drive.google.com/file/d/1xKVJUFB3pHOTf7ozaW5xjg4nvtD4kJt5/view	missive:097c73d4-4bc2-4561-bc52-41ff5138cdae
*	paire de grandeur inégale	2026-02-20	Je vous prie de répondre à ma demande d’échange d’une paire de mitaine de grandeur inégale..Veuillez me faire parvenir une mitaine main gauche s’il vous plait. Lesenechal. Tel: [téléphone]	https://drive.google.com/file/d/1OX7an8pPFs54AeY5TlZsTvKGdLCU-93i/view	missive:f40b6768-b0c9-4c84-805d-0bd7c41b41ef
*	défaut de fabrication	2026-02-14	Bonjour. J’ai acheté une paire de mitaines en décembre dernier. Je considère les avoir utilisé de façon légère (souffleuse à l’occasion, un peu de pelletage, …). C’est probablement un défaut de fabrication. Voir photo jointe. J’attends de vos nouvelles. Merci. [téléphone]	https://drive.google.com/file/d/1fnpAyTFLWeRnf2Ig4Lfn-gCfyELDfWsR/view	missive:de6039f8-4b29-431f-b88f-b0a1541d3d1f
*	coutures se défont après trois ports	2026-02-12	J ai bien recu la commande mais decu.. J ai porté les mitaines 3 fois et les coutures se défont Denommee, CTC President Open Skies Travel	https://drive.google.com/file/d/1fEjiuqIT7mAeENPNHr32yQ6niiX4aRRd/view https://drive.google.com/file/d/1EyLWZQTLPtUgQYUDWUos8hk3FY-qx4x5/view https://drive.google.com/file/d/1_-JyeMKOycOn8qjPsAxL1Z4VdX5G4pRm/view	missive:fef6a135-e4f2-40b2-9543-34d6c587c920
CACHE-COU	rebord se défait	2026-02-03	Bonjour J'ai fait une commande pour des cadeaux de noël soit 3 cache cou et une paire de mitaine a la première utilisation les attaches des mitaines se sont défaites complètement et le rebord d'un cache cou est sur le point de tout se défaire Les possibilités sont lesquelles? [téléphone] [commande] no de commande		missive:8f4fe119-56bc-481d-baf4-a5e292623371
*	défaut de fabrication	2026-02-02	J’ai reçu ma commande mais un defaut de fabrication Voir photo J’aimerais avoir une réponse Merci	https://drive.google.com/file/d/17VZkcdlnKbw-LcrsI56GT5cLF8PaGeXv/view	missive:3e225583-e0e0-4744-99b2-3afd3f4ecd72
*	couture du poignet mal faite	2026-01-30	suite a la reception de ma commande, j ai constate que la mitaine roite avait un defaut de conception.la couture du poignet a ete mal faite et celle-ci occasionneras un bris de la mitaine.vu le prix assez onereux, je ne suis pas du tout satisfait.photo incluse.	https://drive.google.com/file/d/1UKHffO0CexcltjPZpS_yXp2Tk4YrLjIe/view	missive:ad10a4cf-5986-4abe-bf1b-adf406d5c326
MANCHON	diamètre — la cannette n’entre pas	2026-01-20	Bonjour, J'ai reçu ma commande. Cependant, les 2 paires de mitaines ne conviennent pas. Est-ce que je peux les retourner? Si oui, comment SvP? Aussi, l'isolant pour la cannette est trop petit. Je n'arrive pas à insérer une cannette. Jai essayé les 2 types. Je vais vous le retourner aussi. Merci beaucoup Isabelle Envoyé de Yahoo Courriel pour iPhone (https://mail.onelink.me/107872968?pid=nativeplacement&c=Global_Acquisition_YMktg_315_Internal_EmailSignature&af_sub1=Acquisition&af_sub2=Global_YMktg&af_sub3=&af_sub4=100000604&af_sub5=EmailSignature__Static_&af_ios_store_cpp=9d3a686e-218d-4849-829		missive:0cc0fdcf-8c03-434a-8f3e-842047f3014c
*	fils qui sortent aux coutures	2026-01-02	Bonjour, j'ai commandé des mitaines voilà peu de temps et je remarque de petits fils qui sortent au niveau des coutures. Je les ai utilisées seulement pour pelleter et déneiger la voiture. Voici des photos. Note: jai supprimé la facture, mais vous l'avez dans vos dossiers étant donné le peu de temps. 3840 rue des Violettes, Notre-Dame du Mont-Carmel [code postal]	https://drive.google.com/file/d/1tyyQnLpVh2b-XQsgJill8e3cLGrKQ6hR/view https://drive.google.com/file/d/1qH9dQfXSWRqH9_y5A3nHFpClT55J1eIy/view	missive:694507dc-b706-47ad-84b6-3b2e58622e60
*	anneau d’attache cassé à la livraison	2026-01-02	J'ai reçu mes mitaines ce matin. J'espère juste quelles sont neuves. Elles étaient lousses directement dans l'enveloppe de livraison et l'anneau qui devrait les attacher est cassé, ce qui empêche de les maintenir ensemble. Est-ce habituel de les livrer ainsi sans aucune autre protection sauf l'enveloppe de plastique blanc de livraison? Merci!		missive:ca96bbee-c552-4cd9-841f-069ff407f21c
*	paire dépareillée — gauche et droite de grandeurs différentes	2026-01-01	Bonjours nous avons reçu les deux pairs de mitaines hier et il y a certainement une erreur dans la commande ou dans la fabrication des mitaines. Nous avons l'impression d'avoir les mains gauches d'une grandeur et la mains droite d'une autre et ce pour les deux pairs. Nous les avons reçus en retard et de plus il y a certaine un différence de grandeur en les deux mains. Nous n'allons pas pouvoir offrir se cadeaux. Est-ce possible de régler la situations svp.	https://drive.google.com/file/d/1K4PGtciTN5uSon32g6ZUo1-LWgaVbaq2/view https://drive.google.com/file/d/13EUfzSze_5guOcI_a6T0hiplEQCrwO9B/view	missive:35f77c0a-1737-47ba-a50d-111bcd65702c
*	couture saillante dans la mitaine droite	2025-12-27	Order number [commande] Reason, prominent seam in right mitten, also very stiff and not warm.		missive:2846eb1d-5d3d-4e11-9589-d0ddae6d3b43
MIT-PLEIN-AIR	couture entre le pouce et la main	2025-12-27	Bonjour, Tout d'abord, j'aimerais vous féliciter pour vos produits. J'ai acheté a l'automne 2024 2 paire de mitaine et je suis tres satisfait du confort quel procure et sont de loin les meilleurs mitaines que jai possèdé. Cependant, avec le retour de l'hiver chacune de mitaine se sont décousu entre le pouce et la main comme vous verrez sur les photos. Je vous en fait part car je crois que vous pouvez remédier à cette faiblesse afin d'améliorer ce produit.	https://drive.google.com/file/d/17yFR2bakIQWfUvwdSE2UJp5IKvofDwFh/view https://drive.google.com/file/d/1QmAcY1TznKHtJcJAnWU8aPgqsPbUIrH2/view https://drive.google.com/file/d/16a4ooXwTqDeXWx-VI6UVyzmsyYRhR8pl/view	missive:3d91b26e-009d-4bf3-95b1-00fb5292a9c5
*	couture défaite	2025-12-10	Bonjour, le 4 décembre dernier j'ai reçu ma commande et il y a une couture sur une paire de mitaines grandeur small qui s'est défait. Je me demandais si c'était possible de l'échanger svp. Merci d'avance!		missive:27681f49-fb81-44d9-96c8-c8d6f63a4c40
*	isolant migré — le bout des doigts n’en contient plus	2025-12-01	Bonjour, J'ai acheté des mitaines il y a quelques années et je les ai utilisées aujourd'hui par cette première vrai journée froide à Monttéal. J'ai noté que mes mitaines ne sont plus très chaudes, le bout des doigts ne semblent plus contenir d'isolant, c'est comme s'il n'y avait que les épaisseurs du tissus intérieur et extérieur. Je ne les ai jamais lavées en machine, seulement essuyer les taches à l'extérieur... Vous comprendrez ma déception étant donné le prix déboursé au moment de l'achat (99$ il me semble). Est-ce un problème de conception?		missive:75a64e49-9bd8-44d7-9c79-583892696c84
*	brisées presque tout de suite	2025-11-17	Bonjour, j'ai acheté ces mitaines et les ai porté quelques fois. Elles ont brisées presque toute suite. Est-ce normal? Je vous envoie des photos en fichier joint. Et une copie de la commande. Merci! Monique Boulanger 609 route des Fondateurs Larouche Qc [code postal] [téléphone] <https://cdn.shopify.com/s/files/1/0475/8932/7010/email_settings/Lasclay-log o-full.png750> Commande [commande] Votre commande est en cours de livraison Votre commande est en cours de livraison. Suivez votre colis pour en savoir plus sur le statut de la livraison. Date de livraison estimée : 22 December 2023 Suivre ma	https://drive.google.com/file/d/1KUdJqqDRSg7n2S5Vz4eZ_SzsgJdJ5pbI/view https://drive.google.com/file/d/1FDnfI1Dsf8Vu1qifxMpeULw9m-ly4Ylq/view https://drive.google.com/file/d/1LyLxQbjAhoNRroJa_8d6GITWyfsSeXlB/view https://drive.google.com/file/d/1ANYPsEtHLMHrW0EtSMVnOHGSw9Y8SN9R/view https://drive.google.com/file/d/1EKm8CPAxSnZyKoSogG78WG3oLkeGvlzN/view https://drive.google.com/file/d/1vu8GxX__dNMvSBHcncejoIy0AcC7loi9/view	missive:b6f0e20c-86dc-4dbc-a2d1-8c19e9346faa
*	pli d’isolant à l’intérieur	2024-12-05	Bonjour, je viens tout juste de recevoir ma commande. La majorité des articles sont super! Mais malheureusement il y a un pli inconfortable à l'intérieur d'une mitaine que je n'arrive pas à déplacer pour corriger l'inconfort... il doit y avoir trop de doublure ou une couture mal placé à l'intérieur. J'aimerais bien faire un échange slip vous reste ma taille (S). Je serais probablement en mesure de me rendre directement à votre entrepôt de Québec selon vos disponibilités. Voici le numéro de ma commande: [commande] J'attends votre retour, merci ☺️		missive:81fb3832-9eab-4b48-bd0e-6d6c54ec4d67
SAC-LUNCH	se découd à l’intérieur	2026-05-18	Bonjour, J'ai reçu ce beau sac à lunch à Noel 2025! J'ai commencé à l'utiliser à mon retour au travail début janvier et j'ai constaté début mai qu'elle était en train de se découdre à l'intérieur. Je trouve cela dommage étant donné le prix payé... nous sommes fier d'avoir encouragé une entreprise québécoise mais je suis déçu de constater que mon sac est déjà brisé malgré une utilisation adéquate (je ne l'ai jamais passé à la machine non plus). Je vous envoi des photos à l'appui et j'aimerais savoir si vous êtes en mesure de le remplacer? P.S Comme il s'agit d'un cadeau offert par ma belle-mère	https://drive.google.com/file/d/1BSOMnTbW2Txg5EenVwRJPv4I8D7yEyIb/view https://drive.google.com/file/d/1ZzqzyAPFHqA7FA-thc7VfgNs0gQXo7ll/view	missive:3d53ff0d-6053-4712-bf9d-40debb8cb575
